ID	Hardness	Diameter	T-Flour	B-Flour	SRC-W
GID106	70.84763303	2.593797756	68.91650346	44.35528264	63.48132565
GID107	75.95649981	2.570525758	67.36292586	41.43979801	65.75516311
GID108	75.03942933	2.441217457	69.05193653	48.34324566	62.63420495
GID109	69.65297096	2.742954385	70.18320034	48.20007729	63.00101995
GID110	61.36676356	2.458665377	71.42095353	52.35282419	54.36450334
GID111	63.15754286	2.462330634	70.03738028	50.69272602	58.82235913
GID112	61.09473754	2.574846011	71.28814419	51.73373913	58.94312732
GID113	76.51770749	2.535742655	65.74364885	42.31616131	65.21204124
GID114	70.51296249	2.621819655	65.3019506	43.05698446	65.27054044
GID115	67.41023218	2.485760429	67.82207915	47.37792063	61.46232802
GID116	70.53530003	2.686388245	69.78732813	46.69164962	62.71178843
GID117	80.24581545	2.664174971	66.48680283	41.60791076	67.47229458
GID118	80.91529849	2.634524655	64.44136443	39.52915258	66.92676858
GID119	76.96382949	2.618285655	66.99113552	46.68219029	65.02393942
GID120	67.82598692	2.739376082	69.0015493	47.0788645	63.76462167
GID121	72.43535449	2.590669366	65.4220854	41.62312551	64.7920786
GID122	80.14057699	2.523557375	65.5359881	40.06773831	63.34495577
GID123	51.68897196	2.445321137	70.76997905	52.12760353	55.75647535
GID124	61.30746706	2.539380426	69.46663147	48.13606185	60.73405361
GID125	77.42773814	2.587128546	66.82880017	43.180645	64.40300265
GID126	72.62361421	2.609130321	68.49108608	47.05585914	61.78267343
GID127	62.73194023	2.593281653	73.04652616	52.95886085	56.54274562
GID128	73.7704242	2.771312388	68.96445084	44.8228282	61.99022978
GID129	65.41873507	2.623732676	67.71366691	46.79544276	58.78966442
GID130	71.27210981	2.635998381	70.21591578	46.54777224	63.60189251
GID131	64.11473844	2.797406744	65.54821468	43.64491408	64.65352835
GID132	66.96820632	2.466785719	69.83901489	49.50712157	57.37095951
GID133	71.67258195	2.564682786	67.7039493	45.66808276	63.58221375
GID134	64.7429607	2.877733789	69.01654768	44.09489651	62.4331415
GID135	68.25625379	2.481578779	70.05520399	49.0442463	59.64767778
GID136	68.04761862	2.438485027	69.89671241	48.94236625	59.80702576
GID137	57.10497377	2.568910552	71.08721208	50.85736993	56.96255386
GID138	56.24511312	2.472737527	70.50941189	50.54252551	57.51413456
GID139	62.02261613	2.396435288	71.56854464	52.98267264	55.68390793
GID140	61.49366728	2.433465588	70.51474309	51.61208024	55.6111643
GID141	59.73409212	2.379906527	70.36411215	50.51928308	56.96028032
GID142	70.48914826	2.642282757	68.71516527	44.18775846	62.09294093
GID143	61.58293183	2.568824196	70.13184683	48.64218351	58.38023528
GID144	67.2789637	2.6042549	69.82718487	48.05767898	61.33123386
GID145	66.62201021	2.57194418	70.84101959	49.18066131	59.72350975
GID146	67.60326805	2.588808013	68.19693974	42.85933717	62.79974023
GID147	69.65249757	2.588004686	70.68302274	48.32621494	60.77749658
GID148	72.26734777	2.611627413	70.42751253	44.99877191	62.77904224
GID149	69.47210826	2.672009646	70.83837316	47.50133388	62.14511746
GID150	64.19845626	2.554759572	71.35858374	50.9140003	59.65609717
GID151	62.91362788	2.526683077	70.91062749	50.45941192	59.48618694
GID152	74.75181491	2.489323119	70.2380068	48.68176222	62.29079395
GID153	65.32659476	2.463004483	68.53727677	49.57344235	56.15503836
GID154	63.35428046	2.491788618	70.95566834	51.4665479	58.17613502
GID155	66.36410664	2.665010672	68.19854867	46.55903199	58.1375487
GID156	78.85461166	2.745521456	70.62244082	48.02638654	61.63710692
GID157	72.8682994	2.664637483	67.7765985	41.82307935	64.35881198
GID158	68.99153206	2.677445076	69.34244798	47.73033571	58.07064399
GID159	69.66024605	2.651077404	67.99951018	45.98703366	59.94924142
GID160	68.00477482	2.526883487	70.36248745	50.57768087	59.60901978
GID161	63.23132513	2.604781654	68.66527374	47.11195315	57.6699604
GID162	72.17697875	2.558470585	71.09079632	49.93674942	58.38824283
GID163	67.26578949	2.595043166	70.05892649	48.6315171	58.37585331
GID164	67.08938281	2.629126438	70.62467825	49.92252182	59.47571126
GID165	77.29672063	2.612336792	69.1417338	49.09738218	58.15227128
GID166	73.81001131	2.650680694	69.84960701	47.24390882	61.60953008
GID167	68.29634956	2.685454814	71.67120045	49.59655616	59.4707462
GID168	69.08172723	2.726102595	69.66612743	48.02841888	61.57930724
GID169	74.07451826	2.603115442	69.02136154	47.67187092	64.47621329
GID170	74.1023837	2.62526103	69.82790787	48.00496635	58.99362599
GID171	51.64628161	2.756549793	68.3269405	46.45486215	61.59535354
GID172	76.6080991	2.574075282	67.65898057	45.628649	61.21642744
GID173	60.66906749	2.529916655	68.51805443	48.79778971	62.18381039
GID174	75.64771249	2.655375655	67.15361314	43.54531375	61.12938356
GID175	73.03527717	2.554604931	71.15838393	49.32838177	60.4331041
GID176	59.11576849	2.579267655	71.44193847	45.53210756	62.41700707
GID177	76.20332349	2.658263655	66.01656324	41.92648205	63.8602627
GID178	81.80714449	2.718055655	65.42774846	39.22507687	64.89140488
GID179	71.674763	2.544981763	69.73059193	49.40202933	60.13804688
GID180	63.31842969	2.569266328	69.30993347	48.89400842	59.28605797
GID181	73.27580536	2.620591396	69.44931916	46.28128921	65.3940777
GID182	78.06488793	2.478989682	67.74125769	46.23946659	63.91502988
GID183	86.45823649	2.565650655	62.13225179	34.47999726	69.56255465
GID184	74.88394149	2.621687655	67.53094306	45.18278227	63.82183927
GID185	66.72131429	2.524535818	69.60633826	49.1795682	60.57409881
GID186	77.59816052	2.622700978	67.10260898	42.98413673	62.56398192
GID187	76.34569062	2.69181975	67.85158909	42.48698648	64.89383187
GID188	67.84411545	2.665440622	67.92269568	46.86812388	60.46339909
GID189	62.5839034	2.438628561	71.98642604	51.9709171	58.24636699
GID190	61.98368426	2.45924133	71.18622418	51.97026797	57.12576147
GID191	67.098245	2.463067796	70.46884941	51.01159246	60.96567138
GID192	69.00091728	2.69188256	69.01130865	43.294292	62.95368069
GID193	83.55259749	2.529029655	63.6212819	39.95731629	64.20610823
GID194	77.93336449	2.512649655	63.60162671	39.18815909	65.10411412
GID195	78.81430049	2.530263655	64.03560006	36.98790163	64.86097776
GID196	69.28137611	2.60138066	67.34707976	47.63025162	60.86373333
GID197	61.85356774	2.705317509	70.02838352	47.26567458	58.60200444
GID198	69.29791744	2.58534198	70.49439215	47.97424591	58.13008611
GID199	72.33231011	2.66108966	68.16262525	48.23934675	61.22230175
GID200	64.21255721	2.49384381	72.48934371	53.15838784	57.35994469
GID201	72.59651149	2.697565655	67.69929964	47.77209121	62.51894624
GID202	65.61627622	2.573462636	70.95409258	50.3042916	61.65633402
GID203	67.28335225	2.728014261	70.84441721	48.57321249	61.8793171
GID204	77.07926845	2.555252622	65.59963274	43.21591771	62.50940791
GID205	76.34008316	2.764425392	68.57428385	42.73309039	67.75240791
GID206	82.08834045	2.653896622	65.33874601	40.33146258	60.1162149
GID207	78.12656317	2.589830265	63.10159149	37.78494308	66.14631064
GID208	77.27306345	2.578590622	66.49454867	44.07713768	62.19792853
GID209	64.41927671	2.667681284	71.23661716	50.32733847	61.08377672
GID210	77.03811649	2.573136655	63.30354504	38.63759083	69.74681994
GID211	68.08092526	2.657862944	70.59750133	48.70062874	60.83223408
GID212	65.19255121	2.584333454	69.23512696	48.92829832	59.16534873
GID213	67.5394088	2.528857249	69.67037714	49.16399322	55.98969832
GID214	74.90055806	2.461013366	70.36980159	49.51942947	59.91214744
GID215	74.6745669	2.638936037	70.58463158	47.9373542	60.38004757
GID216	69.54660416	2.614692889	69.77249862	49.23895218	59.05877416
GID217	75.6568469	2.501783063	68.47853789	45.07730501	63.42871313
GID218	72.81354655	2.717572684	69.80448952	46.3256315	59.9740366
GID219	68.42258013	2.721013417	71.70847671	49.59439753	58.23817231
GID220	76.6330504	2.492947902	71.34081261	49.37707695	61.50166498
GID221	67.66231328	2.782823217	71.22307377	50.47084176	59.76598071
GID222	70.54084588	2.682737737	69.22983197	46.02823733	62.57032118
GID223	72.8898492	2.637063542	70.77991561	47.04716706	65.31210557
GID224	71.12667748	2.64367272	70.20304463	48.87955732	60.47048219
GID225	64.6956474	2.565439274	69.85692518	48.89256779	59.6581222
GID226	64.28481116	2.563784115	71.17839254	50.69085971	58.45998895
GID227	67.03613327	2.563358615	69.58635723	48.69784416	61.31086757
GID228	65.46441238	2.703693167	67.79005825	47.55210186	60.45840934
GID229	65.328668	2.806917154	72.85279066	50.61585939	57.55557199
GID230	75.15935343	2.539562243	71.85383698	49.23718562	61.33228561
GID231	67.61672379	2.651225559	71.20698811	51.04975117	59.99237341
GID232	66.70850947	2.517349713	71.22189593	51.50484903	59.44683884
GID233	63.70164418	2.452416026	71.39045716	52.20592305	57.28420519
GID234	69.03244124	2.797482886	72.92479105	51.32175001	56.46186446
GID235	76.15274874	2.505872351	68.6997301	45.72792627	62.0266025
GID236	64.29937986	2.532847462	64.83809302	45.50564196	59.90349087
GID237	66.09999412	2.618948883	70.95088764	49.34963568	57.67717841
GID238	60.95161895	2.555438525	70.83414352	50.79764478	59.81585074
GID239	57.8093046	2.541631118	72.47610394	53.04868569	59.62206334
GID240	60.94616266	2.582776371	66.77184575	47.67914302	56.76667591
GID241	58.65802396	2.592817255	72.19296347	51.7618528	59.69160388
GID242	56.33615408	2.489506864	71.43764335	52.25036915	56.46010987
GID243	57.45659662	2.587145509	71.83170825	52.30596078	58.97910466
GID244	83.07640997	2.598890377	67.87022288	42.49462791	65.42579753
GID245	71.85408093	2.707707214	68.30802691	47.0819282	64.94019453
GID246	81.72589169	2.54959266	65.57990016	41.50873641	66.52816583
